year,month,tmean_c,tmin_c,tmax_c,p_mm,rh_mean_pct
2023,3,7.298006720430107,3.2167419354838707,14.179580645161291,288.235,85.73897849462365
2023,4,8.059977272727272,3.3309,14.939,67.408,82.29786616161617
2023,5,8.228979838709678,2.299709677419355,15.610322580645162,31.601,77.68682795698925
2023,6,7.377875277777778,-0.1742,17.053533333333334,3.8000000000000003,59.73475
2023,7,7.992966411564626,-0.03839285714285713,17.823428571428572,95823.0,52.420195578231294
2023,8,,,,0.0,
2023,9,,,,0.0,
2023,10,,,,0.0,
2023,11,,,,0.0,
2023,12,7.193491666666667,5.194,10.956,50.008,94.61333333333333
2024,1,9.190492227676485,5.239870967741935,16.425129032258063,90.206,86.94905913978494
2024,2,9.107036856571714,4.511379310344828,16.469758620689653,116.821,82.24410919540229
2024,3,9.134838300607761,4.583838709677419,16.487935483870967,39.002,84.35147849462366
2024,4,9.152832487922705,4.1376,16.916766666666668,88.809,82.49812198067633
2024,5,8.87844811827957,3.211129032258065,17.175935483870965,40.404,77.47174731182795
2024,6,7.651983333333333,0.9688666666666667,16.2947,8.600000000000001,64.67055555555557
2024,7,8.018202956989247,-0.17929032258064517,17.70964516129032,8.401,52.358198924731184
2024,8,7.805689516129032,0.10358064516129033,17.416870967741936,5.4,58.55120967741936
2024,9,9.083398611111111,1.3663666666666667,17.7639,10.401,56.205555555555556
2024,10,8.748212716222534,3.0149677419354837,17.68541935483871,59.802,71.04704301075269
2024,11,7.526761473429952,2.8291,15.594233333333333,151.023,79.55222826086955
2024,12,8.085220430107526,3.9290000000000003,15.593096774193548,146.223,85.42043010752688
2025,1,7.429078132304816,3.4530967741935488,14.528419354838709,183.627,86.24507947639084
2025,2,7.509740553830228,3.8076785714285712,14.916857142857141,238.434,88.64812370600414
2025,3,7.681079301075269,4.101225806451613,14.285645161290324,244.443,86.73037634408603
2025,4,8.297302777777778,4.170966666666667,15.092266666666665,160.02,85.61375
2025,5,8.289214527816737,2.7485806451612906,15.945967741935483,22.402,75.30096423562412
2025,6,7.532825,1.2354999999999998,15.850066666666667,12.8,71.16416666666667
2025,7,7.15230855539972,-0.3710322580645162,16.496741935483872,3.2,54.460700093501636
2025,8,7.733756720430107,0.5465161290322581,17.12974193548387,11.200000000000001,64.11814516129031
2025,9,8.309283333333333,1.6937666666666666,16.2933,16.201,65.26944444444445
2025,10,7.975302419354839,2.839935483870968,16.421419354838708,111.218,80.76370967741936
2025,11,8.091237801932367,2.7410666666666668,16.384866666666667,90.814,79.66161231884058
2025,12,7.321079260651629,-0.2834285714285714,17.15357142857143,0.2,51.04169799498747
