date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,n_obs_day_high,n_obs_day_low
2009-03-07,-5.252850878,5.780482460000002,-3.976666667,19,24
2009-03-08,-7.710964912000001,19.560964909999996,-3.73258772,19,24
2009-03-09,-4.979166666999999,6.466666669999995,-3.491458333,24,24
2009-03-10,-5.975,10.789999999999992,-4.028916667,20,24
2009-03-11,-6.079166667,9.441666659999996,-4.288125,24,24
2009-03-12,-5.556944445,6.338888889999993,-4.501944445,18,24
2009-03-13,-4.4725,3.874166670000008,-3.867416667,20,24
2009-03-16,-6.390036232,10.136413040000008,-4.286014493000001,23,24
2009-03-17,-3.8762681160000003,-14.596376809999995,-6.612028985,23,24
2009-03-18,-6.125,-0.3708333299999964,-5.490625,24,24
2009-03-19,-7.71,14.714166669999997,-5.0141666670000005,20,24
2009-03-20,-6.9916666670000005,10.775000000000006,-4.872708334,24,24
2009-03-21,-6.292857143000001,10.959523809999993,-4.305952380999999,21,24
2009-03-22,-5.829166666999999,5.887500000000003,-4.5277083330000005,24,24
2009-03-23,-6.054385965,7.741008780000001,-4.635526316,19,24
2009-03-25,-4.909057971,3.0744565199999982,-4.200688406,23,24
2009-03-26,-4.614285714,4.439880950000003,-3.879404762,21,24
2009-03-27,-5.332575758000001,6.94924241999999,-4.078484849,22,24
2009-03-28,-6.214015151000001,8.746212119999996,-4.5234090909999995,22,24
2009-03-29,-4.795833333,2.5083333299999993,-4.31625,24,24
2009-03-30,-4.9066666670000005,4.258333329999999,-4.189666667,20,24
2009-04-02,-5.619444444,8.637499999999989,-3.9575,18,24
2009-04-03,-6.331547618999999,7.362499999999997,-4.661547619,21,24
2009-04-04,-4.2125,-0.7958333400000015,-4.077708333,24,24
2009-04-05,-5.24692029,3.54130434999999,-4.294782609,23,24
2009-04-06,-6.706818182,12.22954544999999,-4.306969697,22,24
2009-04-07,-6.533552632,10.84649121999999,-4.602017544,19,24
2009-04-10,-6.378508772,12.311184209999993,-3.988991228,19,24
2009-04-12,-5.611363636,8.90795455,-3.7948484849999997,22,24
2009-04-16,-8.675,28.762500000000003,-2.617083334,24,24
2009-04-17,-8.954166666999999,30.395833330000002,-2.499166667,24,24
2009-04-18,-8.794444441,25.569444450000006,-3.6691666660000006,18,24
2009-04-19,-8.577536235,30.368659420000007,-2.3358695650000003,23,24
2009-04-20,-8.890398547,31.94782609,-2.304456522,23,24
2009-04-21,-7.635714282,22.90357143,-3.0803571429999996,21,24
2009-04-22,-7.144642856999999,12.294642849999988,-4.726666666,21,24
2009-04-23,-6.245652174,10.520471020000002,-3.917282609,23,24
2009-04-24,-6.054166667,6.533333339999999,-4.591666666,24,24
2009-04-25,-6.075,4.495833340000004,-4.8149999999999995,24,24
2009-04-26,-7.608333333,18.733333329999994,-3.7783333330000004,24,24
2009-04-27,-7.9833333369999995,17.870833329999996,-3.8502083340000004,24,24
2009-04-28,-5.429166666,-7.262500000000003,-6.117291667,24,24
2009-04-29,-4.783333333,3.47916665999999,-3.894791666,24,24
2009-04-30,-4.716666667,5.545833329999994,-2.972222223,24,24
2009-05-01,-4.075,-1.5666666699999894,-4.115277777999999,24,24
2009-05-02,-4.466666666,-1.0291666700000093,-4.444444444,24,24
2009-05-03,-3.9541666660000008,-5.6625000000000085,-4.748611111,24,24
2009-05-04,-3.7375000000000007,-3.7833333299999907,-4.233333333,24,24
2009-05-05,-4.133333334,-15.4375,-7.012499999999999,24,24
2009-05-06,-2.6750000000000007,-13.395833340000003,-4.933333333,24,24
2009-05-07,-2.3833333329999995,-3.3916666700000064,-2.675,24,24
2009-05-08,-4.491666667,-0.16666666000000419,-3.918055555,24,24
2009-05-09,-2.5500000000000007,-4.3125,-3.1013888890000003,24,24
2009-05-10,-3.3541666669999994,-7.375,-4.340277778,24,24
2009-05-11,-4.529166666999999,0.7874999999999943,-3.75,24,24
2009-05-12,-4.116666667,-3.216666669999995,-4.218055556,24,24
2009-05-13,-4.5375,4.158333329999991,-3.2861111110000003,24,24
2009-05-14,-4.116666666,-1.6833333299999964,-3.898611111,24,24
2009-05-15,-5.016666667,4.237499999999997,-3.488888889,24,24
2009-05-16,-4.470833333000001,3.4541666599999985,-3.5625000000000004,24,24
2009-05-17,-4.770833333,1.7249999999999943,-4.109722222,24,24
2009-05-18,-5.891666667,10.120833329999996,-3.4638888889999997,24,24
2009-05-19,-6.195833333,16.508333339999993,-2.797222223,24,24
2009-05-20,-5.008333334,12.258333340000007,-2.3875,24,24
2009-05-21,-3.9291666660000004,0.4125000000000085,-2.9166666660000002,24,24
2009-05-22,-3.95,-7.195833339999993,-4.558333333,24,24
2009-05-23,-3.8958333329999997,-4.837500000000006,-4.1791666670000005,24,24
2009-05-24,-4.991666667,0.7166666600000013,-4.148611111,24,24
2009-05-25,-3.4708333330000007,-6.425000000000011,-4.370833333,24,24
2009-05-26,-4.654166666999999,1.3166666599999957,-3.930555555,24,24
2009-05-27,-3.891666667,-2.779166669999995,-4.065277777,24,24
2009-05-28,-2.858333333,-4.783333329999991,-3.2930555559999997,24,24
2009-05-29,-2.733333333,-1.6374999999999886,-2.684722222,24,24
2009-05-30,-2.3125,-0.34166666000000134,-2.125,24,24
2009-05-31,-3.6041666660000002,-0.32500000000000284,-3.1625,24,24
2009-06-01,-2.970833333,-0.16249999999999432,-2.5805555559999998,24,24
2009-06-02,-4.354166667,6.700000000000003,-2.156944444,24,24
2009-06-03,-5.641666666000001,14.137500000000003,-2.443055556,24,24
2009-06-04,-4.841666666000001,4.150000000000006,-3.254166666,24,24
2009-06-05,-2.6583333330000007,-6.8916666599999985,-3.9472222220000006,24,24
2009-06-06,-2.4916666659999995,-2.950000000000003,-2.7249999999999996,24,24
2009-06-07,-2.9958333339999994,-4.950000000000003,-3.147222223,24,24
2009-06-08,-3.316666667,-1.0666666600000028,-2.920833333,24,24
